col_name,NA_count
id,0
air_conditioning,85
amenities,2518
balconies,88
barrier_free_accessibilty_entr,82
bike_parking,0
exterior_fire_escape,95
fire_alarm,87
garbage_chutes,83
heating_type,86
intercom,90
laundry_room,85
locker_or_storage_room,88
no_of_elevators,5
parking_type,350
pets_allowed,90
prop_management_company_name,1363
property_type,0
rsn,0
separate_gas_meters,88
separate_hydro_meters,87
separate_water_meters,87
site_address,0
sprinkler_system,87
visitor_parking,87
ward,0
window_type,8
year_built,13
year_registered,89
no_of_storeys,0
emergency_power,86
non-smoking_building,94
no_of_units,0
no_of_accessible_parking_spaces,123
facilities_available,0
cooling_room,88
no_barrier_free_accessible_units,154
